wavelength,GCaMP6f (In presence of Ca2+) em,GCaMP6f (In presence of Ca2+) ex
402,,0.02290000021457672
403,,0.02370000071823597
404,,0.02419999986886978
405,,0.024700000882148743
406,,0.025499999523162842
407,,0.026399999856948853
408,,0.027899999171495438
409,,0.029200000688433647
410,,0.030400000512599945
411,,0.03180000185966492
412,,0.0333000011742115
413,,0.03480000048875809
414,,0.036400001496076584
415,,0.03819999843835831
416,,0.04019999876618385
417,,0.04270000010728836
418,,0.04490000009536743
419,,0.046799998730421066
420,,0.04899999871850014
421,,0.051500000059604645
422,,0.054099999368190765
423,,0.05689999833703041
424,,0.05939999967813492
425,,0.061900001019239426
426,,0.06549999862909317
427,,0.06930000334978104
428,,0.07339999824762344
429,,0.07779999822378159
430,,0.08250000327825546
431,,0.08720000088214874
432,,0.09189999848604202
433,,0.09749999642372131
434,,0.10329999774694443
435,,0.10849999636411667
436,,0.11379999667406082
437,,0.12039999663829803
438,,0.12720000743865967
439,,0.13420000672340393
440,,0.14069999754428864
441,,0.1469999998807907
442,,0.15299999713897705
443,,0.16019999980926514
444,,0.17139999568462372
445,,0.17990000545978546
446,,0.1882999986410141
447,,0.19709999859333038
448,,0.20630000531673431
449,,0.21649999916553497
450,,0.22789999842643738
451,,0.2402999997138977
452,,0.25290000438690186
453,,0.26579999923706055
454,,0.27900001406669617
455,,0.29440000653266907
456,,0.3140000104904175
457,,0.3353999853134155
458,,0.3492000102996826
459,,0.367000013589859
460,,0.3797999918460846
461,,0.3944000005722046
462,,0.4090999960899353
463,,0.4244999885559082
464,,0.438400000333786
465,,0.4546999931335449
466,,0.4749999940395355
467,,0.4918999969959259
468,,0.5034000277519226
469,0.001500000013038516,0.5206000208854675
470,0.0012000000569969416,0.5358999967575073
471,0.0010000000474974513,0.5467000007629395
472,0.0010000000474974513,0.5568000078201294
473,0.0007999999797903001,0.5695000290870667
474,0.0006000000284984708,0.5817000269889832
475,0.0008999999845400453,0.5964999794960022
476,0.00139999995008111,0.6061000227928162
477,0.002099999925121665,0.6155999898910522
478,0.0027000000700354576,0.6291000247001648
479,0.0035000001080334187,0.6484000086784363
480,0.004399999976158142,0.67330002784729
481,0.00570000009611249,0.7020000219345093
482,0.007199999876320362,0.7239999771118164
483,0.009399999864399433,0.7412999868392944
484,0.012900000438094139,0.7580000162124634
485,0.017000000923871994,0.7795000076293945
486,0.021400000900030136,0.7997999787330627
487,0.025800000876188278,0.8216000199317932
488,0.03220000118017197,0.8482000231742859
489,0.039400000125169754,0.8705000281333923
490,0.04879999905824661,0.8920000195503235
491,0.05979999899864197,0.9092000126838684
492,0.07280000299215317,0.9318000078201294
493,0.09319999814033508,0.9520000219345093
494,0.10899999737739563,0.9718999862670898
495,0.131400004029274,0.9883000254631042
496,0.1551000028848648,0.9973000288009644
497,0.1867000013589859,1.0
498,0.21539999544620514,0.9983999729156494
499,0.26499998569488525,0.9901000261306763
500,0.3174999952316284,0.9796000123023987
501,0.3571999967098236,0.9667999744415283
502,0.43140000104904175,0.9434000253677368
503,0.4867999851703644,0.901199996471405
504,0.5565000176429749,0.871999979019165
505,0.6175000071525574,0.8187000155448914
506,0.6802999973297119,0.7716000080108643
507,0.7450000047683716,0.692300021648407
508,0.808899998664856,0.6528000235557556
509,0.8762000203132629,0.5863999724388123
510,0.9322999715805054,0.5313000082969666
511,0.9609000086784363,0.4578999876976013
512,0.9821000099182129,0.4311999976634979
513,0.9948999881744385,0.3483999967575073
514,1.0,0.32260000705718994
515,0.9911999702453613,0.2703000009059906
516,0.9760000109672546,0.2280000001192093
517,0.9431999921798706,0.1915999948978424
518,0.9075000286102295,0.14869999885559082
519,0.8629999756813049,0.1256999969482422
520,0.8220999836921692,0.10080000013113022
521,0.7718999981880188,0.07999999821186066
522,0.7335000038146973,0.06700000166893005
523,0.6886000037193298,0.05400000140070915
524,0.6410999894142151,0.04089999943971634
525,0.6057999730110168,0.03099999949336052
526,0.5735999941825867,0.02370000071823597
527,0.5480999946594238,0.018300000578165054
528,0.5152999758720398,0.013500000350177288
529,0.48420000076293945,0.01119999960064888
530,0.4562000036239624,0.009200000204145908
531,0.4399999976158142,0.007799999788403511
532,0.4203999936580658,0.006200000178068876
533,0.40220001339912415,0.00419999985024333
534,0.3862999975681305,0.002899999963119626
535,0.3718000054359436,0.002199999988079071
536,0.36059999465942383,0.0019000000320374966
537,0.34869998693466187,0.0019000000320374966
538,0.33660000562667847,0.00139999995008111
539,0.32600000500679016,0.0007999999797903001
540,0.31679999828338623,0.0007999999797903001
541,0.3082999885082245,0.0007999999797903001
542,0.3003999888896942,0.0007999999797903001
543,0.29330000281333923,0.0007999999797903001
544,0.2870999872684479,0.0007999999797903001
545,0.28220000863075256,0.0007999999797903001
546,0.27639999985694885,0.0007999999797903001
547,0.2702000141143799,0.0007999999797903001
548,0.2646999955177307,0.0007999999797903001
549,0.25920000672340393,
550,0.25220000743865967,
551,0.24500000476837158,
552,0.23680000007152557,
553,0.22840000689029694,
554,0.2199999988079071,
555,0.21220000088214874,
556,0.20250000059604645,
557,0.19200000166893005,
558,0.18330000340938568,
559,0.17479999363422394,
560,0.16619999706745148,
561,0.1574999988079071,
562,0.1492999941110611,
563,0.14059999585151672,
564,0.1315000057220459,
565,0.12439999729394913,
566,0.11789999902248383,
567,0.11230000108480453,
568,0.10689999908208847,
569,0.10159999877214432,
570,0.09570000320672989,
571,0.08900000154972076,
572,0.08410000056028366,
573,0.08009999990463257,
574,0.07599999755620956,
575,0.07190000265836716,
576,0.06800000369548798,
577,0.06419999897480011,
578,0.061000000685453415,
579,0.05770000070333481,
580,0.05429999902844429,
581,0.05130000039935112,
582,0.04879999905824661,
583,0.04670000076293945,
584,0.04479999840259552,
585,0.04280000180006027,
586,0.040800001472234726,
587,0.039000000804662704,
588,0.03720000013709068,
589,0.0357000008225441,
590,0.0340999998152256,
591,0.03229999914765358,
592,0.031199999153614044,
593,0.030500000342726707,
594,0.029100000858306885,
595,0.027499999850988388,
596,0.026399999856948853,
597,0.025200000032782555,
598,0.02410000003874302,
599,0.02290000021457672,
600,0.0215000007301569,
601,0.0203000009059906,
602,0.019500000402331352,
603,0.018699999898672104,
604,0.017999999225139618,
605,0.01720000058412552,
606,0.01640000008046627,
607,0.015399999916553497,
608,0.014399999752640724,
609,0.013700000010430813,
610,0.013100000098347664,
611,0.012500000186264515,
612,0.011900000274181366,
613,0.01119999960064888,
614,0.010099999606609344,
615,0.008700000122189522,
616,0.007400000002235174,
617,0.0066999997943639755,
618,0.006200000178068876,
619,0.005799999926239252,
620,0.005400000140070915,
621,0.0052999998442828655,
622,0.005100000184029341,
623,0.0044999998062849045,
624,0.004100000020116568,
625,0.004100000020116568,
626,0.003800000064074993,
627,0.0032999999821186066,
628,0.0026000000070780516,
629,0.0017000000225380063,
630,0.0012000000569969416,
631,0.0008999999845400453,
632,0.0008999999845400453,
633,0.0007999999797903001,
634,0.00039999998989515007,
635,0.00019999999494757503,
